rank_relevance,paper_id,doi,title,year,venue,authors,citation_count,source_url,seed_query,query_tag,category,concepts,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_score,importance_stage,notes
515,https://openalex.org/W4283587060,https://doi.org/10.1038/s41598-022-13981-w,Embodiment of supernumerary robotic limbs in virtual reality,2022,Scientific Reports,Ken Ichi Arai; Hiroto Saito; Masaaki Fukuoka; Sachiyo Ueda; Maki Sugimoto; Michiteru Kitazaki; et al.,44,https://doi.org/10.1038/s41598-022-13981-w,reality gap robotics,sim_to_real_core,tactile,Supernumerary; Virtual reality; Computer science; Human–computer interaction; Artificial intelligence; Anatomy; Computer graphics (images); Medicine; Supernumerary; Virtual reality; Computer science; Human–computer interaction,"The supernumerary robotic limb system expands the motor function of human users by adding extra artificially designed limbs. It is important for us to embody the system as if it is a part of one's own body and to maintain cognitive transparency in which the cognitive load is suppressed. Embodiment studies have been conducted with an expansion of bodily functions through a ""substitution"" and ""extension"". However, there have been few studies on the ""addition"" of supernumerary body parts. In this study, we developed a supernumerary robotic limb system that operates in a virtual environment, and then evaluated whether the extra limb can be regarded as a part of one's own body using a questionnaire and whether the perception of peripersonal space changes with a visuotactile crossmodal congruency task. We found that the participants can embody the extra-limbs after using the supernumerary robotic limb system. We also found a positive correlation between the perceptual change in the crossmodal congruency task and the subjective feeling that the number of one's arms had increased (supernumerary limb sensation). These results suggest that the addition of an extra body part may cause the participants to feel that they had acquired a new body part that differs from their original body part through a functional expansion.",Use tactile sensing to bridge contact uncertainty in real robotic interaction.,"Learn tactile representations, calibrate sensors, or fuse touch with vision/control.",Sensing reveals the relevant physical state once properly calibrated.,Failure taxonomy and intervention selection.,When the same tactile distribution corresponds to different repair mechanisms.,Using tactile observations as additional transfer signal.,Probe design that separates failure mechanisms rather than merely improving sensing.,8,landscape_1000,
516,https://openalex.org/W4324056561,https://doi.org/10.3390/agronomy13030829,Design of a Virtual Multi-Interaction Operation System for Hand–Eye Coordination of Grape Harvesting Robots,2023,Agronomy,Jizhan Liu; Jin Liang; Shengyi Zhao; Yingxing Jiang; Jie Wang; Yucheng Jin,43,https://doi.org/10.3390/agronomy13030829,sim to real transfer robotics,sim_to_real_core,contact_manipulation,Computer science; Robot; Simulation; Computer vision; Software; Kinematics; Artificial intelligence; Real-time computing; Physics; Programming language; Classical mechanics; Computer science,"In harvesting operations, simulation verification of hand–eye coordination in a virtual canopy is critical for harvesting robot research. More realistic scenarios, vision-based driving motion, and cross-platform interaction information are needed to achieve such simulations, which are very challenging. Current simulations are more focused on path planning operations for consistency scenarios, which are far from satisfying the requirements. To this end, a new approach of visual servo multi-interaction simulation in real scenarios is proposed. In this study, a dual-arm grape harvesting robot in the laboratory is used as an example. To overcome these challenges, a multi-software federation is first proposed to establish their communication and cross-software sending of image information, coordinate information, and control commands. Then, the fruit recognition and positioning algorithm, forward and inverse kinematic model and simulation model are embedded in OpenCV and MATLAB, respectively, to drive the simulation run of the robot in V-REP, thus realizing the multi-interaction simulation of hand–eye coordination in virtual trellis vineyard. Finally, the simulation is verified, and the results show that the average running time of a string-picking simulation system is 6.5 s, and the success rate of accurate picking point grasping reached 83.3%. A complex closed loop of “scene-image recognition-grasping” is formed by data processing and transmission of various information. It can effectively realize the continuous hand–eye coordination multi-interaction simulation of the harvesting robot under the virtual environment.","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,12,landscape_1000,
517,https://openalex.org/W2070805426,https://doi.org/10.2478/v10006-010-0005-7,A biologically inspired approach to feasible gait learning for a hexapod robot,2010,International Journal of Applied Mathematics and Computer Science,Dominik Belter; Piotr Skrzypczyński,43,https://doi.org/10.2478/v10006-010-0005-7,sim-to-real robotics,sim_to_real_core,locomotion,Hexapod; Gait; Robot; Computer science; Terrain; Artificial intelligence; Reduction (mathematics); Evolutionary robotics; Simulation; Mathematics; Physical medicine and rehabilitation; Medicine,"A biologically inspired approach to feasible gait learning for a hexapod robot The objective of this paper is to develop feasible gait patterns that could be used to control a real hexapod walking robot. These gaits should enable the fastest movement that is possible with the given robot's mechanics and drives on a flat terrain. Biological inspirations are commonly used in the design of walking robots and their control algorithms. However, legged robots differ significantly from their biological counterparts. Hence we believe that gait patterns should be learned using the robot or its simulation model rather than copied from insect behaviour. However, as we have found tahula rasa learning ineffective in this case due to the large and complicated search space, we adopt a different strategy: in a series of simulations we show how a progressive reduction of the permissible search space for the leg movements leads to the evolution of effective gait patterns. This strategy enables the evolutionary algorithm to discover proper leg co-ordination rules for a hexapod robot, using only simple dependencies between the states of the legs and a simple fitness function. The dependencies used are inspired by typical insect behaviour, although we show that all the introduced rules emerge also naturally in the evolved gait patterns. Finally, the gaits evolved in simulations are shown to be effective in experiments on a real walking robot.","Transfer locomotion policies across terrain, morphology, sensing, and actuator gaps.","Dynamics randomization, privileged training, online adaptation, residual policies, or robust control.",Morphology and terrain variations can be covered by training distributions or latent adaptation.,Named failure mechanisms and their repair semantics.,Aliased failure signatures and non-stationary faults after deployment.,Locomotion sim-to-real through randomized or adaptive policies.,Mechanism-first repair when the robot must choose among incompatible fixes.,9,landscape_1000,
518,https://openalex.org/W2607187241,https://doi.org/10.1145/3049797.3049823,Bipedal Robotic Running with DURUS-2D,2017,,Wen-Loong Ma; Shishir Kolathaya; Eric Ambrose; Christian Hubicki; Aaron D. Ames,43,https://doi.org/10.1145/3049797.3049823,reality gap robotics,sim_to_real_core,locomotion,Computer science; Robot; Benchmark (surveying); Robotics; Stability (learning theory); Heuristic; Control engineering; Underactuation; Control theory (sociology); Bridging (networking); Gait; Hybrid system,"Bipedal robotic running remains a challenging benchmark in the field of control and robotics because of its highly dynamic nature and necessarily underactuated hybrid dynamics. Previous results have achieved bipedal running experimentally with a combination of theoretical results and heuristic application thereof. In particular, formal analysis of the hybrid system stability is given based on a theoretical model, but due to the gap between theoretical concepts and experimental reality, extensive tuning is necessary to achieve experimental success. In this paper, we present a formal approach to bridge this gap, starting from theoretical gait generation to a provably stable control implementation, resulting in bipedal robotic running. We first use a large-scale optimization to generate an energy-efficient running gait, subject to hybrid zero dynamics conditions and feasibility constraints which incorporate practical limitations of the robot model based on physical conditions. The stability of the gait is formally guaranteed in the hybrid system model with an input to state stability (ISS) based control law. This implementation improves the stability under practical control limitations of the system. Finally, the methodology is experimentally realized on the planar spring-legged bipedal robot, DURUS-2D, resulting in sustainable running at 1.75m/s. The paper, therefore, presents a formal method that takes the first step toward bridging the gap between theory and experiment.","Transfer locomotion policies across terrain, morphology, sensing, and actuator gaps.","Dynamics randomization, privileged training, online adaptation, residual policies, or robust control.",Morphology and terrain variations can be covered by training distributions or latent adaptation.,Named failure mechanisms and their repair semantics.,Aliased failure signatures and non-stationary faults after deployment.,Locomotion sim-to-real through randomized or adaptive policies.,Mechanism-first repair when the robot must choose among incompatible fixes.,9,landscape_1000,
519,https://openalex.org/W3119498916,https://doi.org/10.1007/s00464-020-08197-w,Procedural virtual reality simulation training for robotic surgery: a randomised controlled trial,2021,Surgical Endoscopy,Nicholas Raison; Patrick Harrison; Takashige Abe; Abdüllatif Aydın; Kamran Ahmed; Prokar Dasgupta,43,https://doi.org/10.1007/s00464-020-08197-w,reality gap robotics,sim_to_real_core,simulation_training,Virtual reality; Learning curve; Robotic surgery; Procedural knowledge; Modalities; Medicine; Physical therapy; Computer science; Medical physics; Surgery; Human–computer interaction; Artificial intelligence,"BACKGROUND: Virtual reality (VR) training is widely used for surgical training, supported by comprehensive, high-quality validation. Technological advances have enabled the development of procedural-based VR training. This study assesses the effectiveness of procedural VR compared to basic skills VR in minimally invasive surgery. METHODS: 26 novice participants were randomised to either procedural VR (n = 13) or basic VR simulation (n = 13). Both cohorts completed a structured training programme. Simulator metric data were used to plot learning curves. All participants then performed parts of a robotic radical prostatectomy (RARP) on a fresh frozen cadaver. Performances were compared against a cohort of 9 control participants without any training experience. Performances were video recorded and assessed blindly using GEARS post hoc. RESULTS: Learning curve analysis demonstrated improvements in technical skill for both training modalities although procedural training was associated with greater training effects. Any VR training resulted in significantly higher GEARS scores than no training (GEARS score 11.3 ± 0.58 vs. 8.8 ± 2.9, p = 0.002). Procedural VR training was found to be more effective than both basic VR training and no training (GEARS 11.9 ± 2.9 vs. 10.7 ± 2.8 vs. 8.8 ± 1.4, respectively, p = 0.03). CONCLUSIONS: This trial has shown that a structured programme of procedural VR simulation is effective for robotic training with technical skills successfully transferred to a clinical task in cadavers. Further work to evaluate the role of procedural-based VR for more advanced surgical skills training is required.",Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,8,landscape_1000,
520,https://openalex.org/W2997494682,https://doi.org/10.1109/tmech.2019.2963439,Active SLAM for Mobile Robots With Area Coverage and Obstacle Avoidance,2020,IEEE/ASME Transactions on Mechatronics,Yongbo Chen; Shoudong Huang; Robert Fitch,118,https://doi.org/10.1109/tmech.2019.2963439,domain randomization robotics,domain_randomization,domain_randomization,Simultaneous localization and mapping; Mathematical optimization; Computer science; Mobile robot; Robot; Obstacle avoidance; Maxima and minima; Reduction (mathematics); Mathematics; Artificial intelligence; Geometry; Mathematical analysis,"In this article, we present an active simultaneous localization and mapping (SLAM) framework for a mobile robot to obtain a collision-free trajectory with good performance in SLAM uncertainty reduction and in an area coverage task. Based on a model predictive control framework, these two tasks are solved by the introduction of a control switching mechanism. For SLAM uncertainty reduction, graph topology is used to approximate the original problem as a constrained nonlinear least squares problem. A convex half-space representation is applied to relax nonconvex spatial constraints that represent obstacle avoidance. Using convex relaxation, the problem is solved by a convex optimization method and a rounding procedure based on singular value decomposition. The area coverage task is addressed with a sequential quadratic programming method. A submap joining approach, called linear SLAM, is used to address the associated challenges of avoiding local minima, minimizing control switching, and potentially high computational cost. Finally, various simulations and experiments using an aerial robot are presented that verify the effectiveness of the proposed method, showing that our method produces a more accurate SLAM result and is more computationally efficient compared with multiple existing methods.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
521,https://openalex.org/W2890728188,https://doi.org/10.1109/icra.2019.8793561,Sim-to-Real Transfer Learning using Robustified Controllers in Robotic Tasks involving Complex Dynamics,2019,,Jeroen van Baar; Alan Sullivan; Radu Cordorel; Devesh K. Jha; Diego Romeres; Daniel Nikovski,15,https://doi.org/10.1109/icra.2019.8793561,sim-to-real robotics,sim_to_real_core,domain_adaptation,Robot; Task (project management); Computer science; Transfer of learning; Reinforcement learning; Controller (irrigation); Artificial intelligence; Simulation; Control theory (sociology); Control (management); Engineering; Biology,"Learning robot tasks or controllers using deep reinforcement learning has been proven effective in simulations. Learning in simulation has several advantages. For example, one can fully control the simulated environment, including halting motions while performing computations. Another advantage when robots are involved, is that the amount of time a robot is occupied learning a task-rather than being productive-can be reduced by transferring the learned task to the real robot. Transfer learning requires some amount of fine-tuning on the real robot. For tasks which involve complex (non-linear) dynamics, the fine-tuning itself may take a substantial amount of time. In order to reduce the amount of fine-tuning we propose to learn robustified controllers in simulation. Robustified controllers are learned by exploiting the ability to change simulation parameters (both appearance and dynamics) for successive training episodes. An additional benefit for this approach is that it alleviates the precise determination of physics parameters for the simulator, which is a non-trivial task. We demonstrate our proposed approach on a real setup in which a robot aims to solve a maze game, which involves complex dynamics due to static friction and potentially large accelerations. We show that the amount of fine-tuning in transfer learning for a robustified controller is substantially reduced compared to a non-robustified controller.",Align source and target distributions so learned perception or policies transfer across domains.,"Learn domain-invariant features, adversarial alignments, image translations, or target-conditioned representations.",Distributional alignment preserves task-relevant causal factors and does not merge domains requiring different repairs.,"Controller semantics, intervention set, simulator causal graph, and failure labels.","Identical marginal statistics with different mechanisms, contact discontinuities, and policy-induced data shift.",A generic feature-alignment framing for sim-to-real transfer.,Intervention-relevant mechanism identification under sparse real trials.,11,landscape_1000,
522,https://openalex.org/W4384626565,https://doi.org/10.1007/s11517-023-02877-0,Domain adaptive Sim-to-Real segmentation of oropharyngeal organs,2023,Medical & Biological Engineering & Computing,Guankun Wang; Tian-Ao Ren; Jiewen Lai; Long Bai; Hongliang Ren,15,https://doi.org/10.1007/s11517-023-02877-0,sim-to-real robotics,sim_to_real_core,simulation_training,Segmentation; Computer science; Artificial intelligence; Domain (mathematical analysis); Ranking (information retrieval); Image segmentation; Computer vision; Transoral robotic surgery; Pattern recognition (psychology); Machine learning; Medicine; Surgery,,Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,9,landscape_1000,
523,https://openalex.org/W4362653121,https://doi.org/10.1109/lra.2023.3264766,Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics,2023,IEEE Robotics and Automation Letters,Fei Liu; Entong Su; Jingpei Lu; Mingen Li; Michael C. Yip,42,https://doi.org/10.1109/lra.2023.3264766,sim-to-real robotics,sim_to_real_core,contact_manipulation,Rope; Computer science; Robot; Position (finance); Robustness (evolution); Differentiable function; Robotics; Artificial intelligence; Algorithm; Mathematics; Mathematical analysis; Chemistry,"Robot manipulation of rope-like objects is an interesting problem with some critical applications, such as autonomous robotic suturing. Solving for and controlling rope is difficult due to the complexity of rope physics and the challenge of building fast and accurate models of deformable materials. While more data-driven approaches have become more popular for finding controllers that learn to do a single task, there is still a strong motivation for a model-based method that could solve many optimization problems. Towards this end, we introduced compliant position-based dynamics (XPBD) to model rope-like objects. Using geometric constraints, the model can represent the coupling of shear/stretch and bend/twist effects. Of crucial importance is that our formulation is differentiable, which can solve parameter estimation problems and improve the matching of rope physics to real-life scenarios (i.e., the real-to-sim problem). For the generality of rope-like objects, two different solvers are proposed to handle the inextensible and extensible effects of varied material stiffness for the rope. We demonstrate our framework's robustness and accuracy on real-to-sim experimental setups using the Baxter robot and the da Vinci research kit (DVRK) (D'Ettorre et al., 2021). Our work leads to a new path for robotic manipulation of the deformable rope-like object taking advantage of the ready-to-use gradients.","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,12,landscape_1000,
524,https://openalex.org/W4385476004,https://doi.org/10.1021/acsnano.3c04089,Sensing in Soft Robotics,2023,ACS Nano,Chidanand Hegde; Jiangtao Su; Joel Ming Rui Tan; Ke He; Xiaodong Chen; Shlomo Magdassi,312,https://doi.org/10.1021/acsnano.3c04089,sim-to-real robotics,sim_to_real_core,simulation_training,Robotics; Soft robotics; Robot; Artificial intelligence; Computer science; Field (mathematics); Human–computer interaction; Soft materials; Nanotechnology; Materials science; Mathematics; Pure mathematics,"Soft robotics is an exciting field of science and technology that enables robots to manipulate objects with human-like dexterity. Soft robots can handle delicate objects with care, access remote areas, and offer realistic feedback on their handling performance. However, increased dexterity and mechanical compliance of soft robots come with the need for accurate control of the position and shape of these robots. Therefore, soft robots must be equipped with sensors for better perception of their surroundings, location, force, temperature, shape, and other stimuli for effective usage. This review highlights recent progress in sensing feedback technologies for soft robotic applications. It begins with an introduction to actuation technologies and material selection in soft robotics, followed by an in-depth exploration of various types of sensors, their integration methods, and the benefits of multimodal sensing, signal processing, and control strategies. A short description of current market leaders in soft robotics is also included in the review to illustrate the growing demands of this technology. By examining the latest advancements in sensing feedback technologies for soft robots, this review aims to highlight the potential of soft robotics and inspire innovation in the field.",Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,10,landscape_1000,
525,https://openalex.org/W4293566197,https://doi.org/10.1038/s41598-023-38259-7,Controlling the Solo12 quadruped robot with deep reinforcement learning,2023,Scientific Reports,Michel Aractingi; Pierre‐Alexandre Léziart; Thomas Flayols; Julien Perez; Tomi Silander; Philippe Souères,41,https://doi.org/10.1038/s41598-023-38259-7,sim-to-real robotics,sim_to_real_core,locomotion,Reinforcement learning; Reinforcement; Robot; Computer science; Artificial intelligence; Psychology; Social psychology; Reinforcement learning; Reinforcement; Robot; Computer science; Artificial intelligence,"Quadruped robots require robust and general locomotion skills to exploit their mobility potential in complex and challenging environments. In this work, we present an implementation of a robust end-to-end learning-based controller on the Solo12 quadruped. Our method is based on deep reinforcement learning of joint impedance references. The resulting control policies follow a commanded velocity reference while being efficient in its energy consumption and easy to deploy. We detail the learning procedure and method for transfer on the real robot. We show elaborate experiments. Finally, we present experimental results of the learned locomotion on various grounds indoors and outdoors. These results show that the Solo12 robot is a suitable open-source platform for research combining learning and control because of the easiness in transferring and deploying learned controllers.","Transfer locomotion policies across terrain, morphology, sensing, and actuator gaps.","Dynamics randomization, privileged training, online adaptation, residual policies, or robust control.",Morphology and terrain variations can be covered by training distributions or latent adaptation.,Named failure mechanisms and their repair semantics.,Aliased failure signatures and non-stationary faults after deployment.,Locomotion sim-to-real through randomized or adaptive policies.,Mechanism-first repair when the robot must choose among incompatible fixes.,11,landscape_1000,
526,https://openalex.org/W4407699732,https://doi.org/10.3390/s25041248,Sensor-Fusion Based Navigation for Autonomous Mobile Robot,2025,Sensors,Vygantas Ušinskis; Michał Nowicki; Andrius Dzedzickis; Vytautas Bučinskas,41,https://doi.org/10.3390/s25041248,sim to real transfer robotics,sim_to_real_core,simulation_training,Mobile robot navigation; Sensor fusion; Mobile robot; Robot; Computer science; Artificial intelligence; Motion planning; Navigation system; Computer vision; Real-time computing; Robotics; Trajectory,"Navigation systems are developing rapidly; nevertheless, tasks are becoming more complex, significantly increasing the number of challenges for robotic systems. Navigation can be separated into global and local navigation. While global navigation works according to predefined data about the environment, local navigation uses sensory data to dynamically react and adjust the trajectory. Tasks are becoming more complex with the addition of dynamic obstacles, multiple robots, or, in some cases, inspection of places that are not physically reachable by humans. Cognitive tasks require not only detecting an object but also evaluating it without direct recognition. For this purpose, sensor fusion methods are employed. However, sensors of different physical nature sometimes cannot directly extract required information. As a result, AI methods are becoming increasingly popular for evaluating acquired information and for controlling and generating robot trajectories. In this work, a review of sensors for mobile robot localization is presented by comparing them and listing advantages and disadvantages of their combinations. Also, integration with path-planning methods is looked into. Moreover, sensor fusion methods are analyzed and evaluated. Furthermore, a concept for channel robot navigation, designed based on the research literature, is presented. Lastly, discussion and conclusions are drawn.",Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,8,landscape_1000,
527,https://openalex.org/W4389136560,https://doi.org/10.3390/mi14122173,Fabrication and Applications of Magnetic Polymer Composites for Soft Robotics,2023,Micromachines,Sayan Ganguly; Shlomo Margel,41,https://doi.org/10.3390/mi14122173,sim to real transfer robotics,sim_to_real_core,simulation_training,Soft robotics; Materials science; Robotics; Nanotechnology; Polymer; Grippers; Magnetic field; Actuator; Transformative learning; Fabrication; Soft matter; Smart material,"The emergence of magnetic polymer composites has had a transformative impact on the field of soft robotics. This overview will examine the various methods by which innovative materials can be synthesized and utilized. The advancement of soft robotic systems has been significantly enhanced by the utilization of magnetic polymer composites, which amalgamate the pliability of polymers with the reactivity of magnetic materials. This study extensively examines the production methodologies involved in dispersing magnetic particles within polymer matrices and controlling their spatial distribution. The objective is to gain insights into the strategies required to attain the desired mechanical and magnetic properties. Additionally, this study delves into the potential applications of these composites in the field of soft robotics, encompassing various devices such as soft actuators, grippers, and wearable gadgets. The study emphasizes the transformative capabilities of magnetic polymer composites, which offer a novel framework for the advancement of biocompatible, versatile soft robotic systems that utilize magnetic actuation.",Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,8,landscape_1000,
528,https://openalex.org/W2138635272,https://doi.org/10.1007/s12369-014-0228-0,Tactile Interactions with a Humanoid Robot: Novel Play Scenario Implementations with Children with Autism,2014,International Journal of Social Robotics,Ben Robins; Kerstin Dautenhahn,109,https://doi.org/10.1007/s12369-014-0228-0,domain randomization robotics,domain_randomization,domain_randomization,Autism; Humanoid robot; Implementation; Human–computer interaction; Computer science; Robot; Robotics; Mechatronics; Artificial intelligence; Psychology; Developmental psychology; Software engineering,"The work presented in this paper was part of our investigation in the ROBOSKIN project. The project has developed new robot capabilities based on the tactile feedback provided by novel robotic skin, with the aim to provide cognitive mechanisms to improve human–robot interaction capabilities. This article presents two novel tactile play scenarios developed for robot-assisted play for children with autism. The play scenarios were developed against specific educational and therapeutic objectives that were discussed with teachers and therapists. These objectives were classified with reference to the ICF-CY, the International Classification of Functioning—version for Children and Youth. The article presents a detailed description of the play scenarios, and case study examples of their implementation in HRI studies with children with autism and the humanoid robot KASPAR.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
529,https://openalex.org/W2261736307,https://doi.org/10.1016/j.plrev.2016.02.001,Hand synergies: Integration of robotics and neuroscience for understanding the control of biological and artificial hands,2016,Physics of Life Reviews,Marco Santello; Matteo Bianchi; Marco Gabiccini; Emiliano Ricciardi; Gionata Salvietti; Domenico Prattichizzo; et al.,297,https://doi.org/10.1016/j.plrev.2016.02.001,reality gap robotics,sim_to_real_core,simulation_training,Robotics; Artificial intelligence; Computer science; Human–computer interaction; Multidisciplinary approach; Embodied cognition; Control (management); Cognitive science; Robot; Psychology; Social science; Sociology,,Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,8,landscape_1000,
530,https://openalex.org/W4312648631,https://doi.org/10.1109/arace56528.2022.00038,Robotic grasping target detection based on domain randomization,2022,,Jiyuan Liu; Junqi Luo; Zhenyu Zhang; Daopeng Liu; Shanjun Zhang; Liucun Zhu,1,https://doi.org/10.1109/arace56528.2022.00038,domain randomization robotics,domain_randomization,domain_randomization,Computer science; Artificial intelligence; Domain (mathematical analysis); Generalization; Machine learning; Randomization; Domain knowledge; Robot; Deep learning; Pattern recognition (psychology); Computer vision; Mathematics,"In recent years, deep learning has been a great success in robotic vision grasping, which is largely due to its adaptive learning capability and large-scale training samples. However, the hand-crafted datasets may suffer the dilemma of time-cost and quality. In this paper, a robot grasping target detection algorithm based on synthetic data is proposed. The training samples are generated quickly and accurately by domain randomization technique. Each RGB image of the domain randomized dataset contains complex backgrounds and randomly rotated detection targets, while the illumination of the scene and the occlusion of the targets are randomized to improve the generalization of the model, and finally we put the dataset into YOLOv3 for training. The YCB dataset is used as the training and testing samples. The experiments compare the detecting effects of the networks that are trained by YCB dataset and its synthetic data respectively. The results show that the dataset by domain randomization is consistent with the YCB dataset in terms of recognition accuracy, while the mAP of the dataset by domain randomization is improved by 10% compared to the YCB dataset, which further indicates that the synthetic dataset constructed by domain randomization can effectively improve the network learning effect and further improve the recognized performance of the target in complex scene.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
531,https://openalex.org/W4406949490,https://doi.org/10.1109/mhs63891.2024.10856291,Embedded Image-to-Image Translation for Efficient Sim-to-Real Transfer in Learning-based Robot-Assisted Soft Manipulation,2024,,Jacinto Colan; K Sugita; Ana Davila; Yutaro Yamada; Yasuhisa Hasegawa,1,https://doi.org/10.1109/mhs63891.2024.10856291,sim-to-real robotics,sim_to_real_core,contact_manipulation,Computer science; Translation (biology); Robot; Image (mathematics); Image manipulation; Artificial intelligence; Image translation; Computer vision; Human–computer interaction; Messenger RNA; Gene; Chemistry,"Recent advances in robotic learning in simulation have shown impressive results in accelerating learning complex manipulation skills. However, the sim-to-real gap, caused by discrepancies between simulation and reality, poses significant challenges for the effective deployment of autonomous surgical systems. We propose a novel approach utilizing image translation models to mitigate domain mismatches and facilitate efficient robot skill learning in a simulated environment. Our method involves the use of contrastive unpaired Image-toimage translation, allowing for the acquisition of embedded representations from these transformed images. Subsequently, these embeddings are used to improve the efficiency of training surgical manipulation models. We conducted experiments to evaluate the performance of our approach, demonstrating that it significantly enhances task success rates and reduces the steps required for task completion compared to traditional methods. The results indicate that our proposed system effectively bridges the sim-to-real gap, providing a robust framework for advancing the autonomy of surgical robots in minimally invasive procedures.","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,11,landscape_1000,
